Billing_ZIP,Active_subscribers,Not_Active_subscribers,Total_SUBs,AvgMobileRevenue ,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,CRM_PID_Value_Segment_Gold,CRM_PID_Value_Segment_Iron,CRM_PID_Value_Segment_Lead,CRM_PID_Value_Segment_Platinum,CRM_PID_Value_Segment_SE,CRM_PID_Value_Segment_SME,CRM_PID_Value_Segment_Silver,CRM_PID_Value_Segment_Sliver,EffectiveSegment_Other,EffectiveSegment_SE,EffectiveSegment_SME,EffectiveSegment_SOHO,EffectiveSegment_VSE,KA_name_AD?,KA_name_DI,KA_name_Daniela Stefanova,KA_name_Ginka Vachkova,KA_name_Jenia Gogova,KA_name_MT,KA_name_RJ,KA_name_Tatiana Trifonova,KA_name_VM,KA_name_VT,KA_name_VU
4013.0,2,1.0,3,41.83,0.0,41.83,20.92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6000.0,2,0.0,3,41.83,0.0,41.83,20.92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4400.0,3,0.0,3,42.0,0.0,42.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4004.0,4,0.0,4,42.0,0.0,42.0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4000.0,5,2.0,7,42.0,0.0,42.0,8.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4004.0,5,1.0,6,42.0,0.0,42.0,8.4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4000.0,5,0.0,5,42.0,0.0,42.0,8.4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
6100.0,5,1.0,6,42.0,0.0,42.0,8.4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6000.0,5,1.0,6,42.0,0.0,42.0,8.4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4023.0,3,0.0,3,42.17,0.0,42.17,14.06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4400.0,3,1.0,4,42.17,0.0,42.17,14.06,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
6091.0,5,0.0,5,42.17,0.0,42.17,8.43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4144.0,3,0.0,3,42.33,0.0,42.33,14.11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6260.0,5,0.0,5,42.33,0.0,42.33,8.47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6000.0,3,1.0,4,42.33,0.0,42.33,14.11,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6000.0,5,0.0,5,42.33,0.0,42.33,8.47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4550.0,1,4.0,5,42.33,0.0,42.33,42.33,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
